CO_ENTIDADE;NO_ENTIDADE;NO_MUNICIPIO;SG_UF;ANO;QT_MAT_BAS_BRANCA;QT_MAT_BAS_PRETA;QT_MAT_BAS_PARDA;QT_MAT_BAS_AMARELA;QT_MAT_BAS_INDIGENA;QT_MAT_BAS_TOTAL;QT_MAT_BAS_FEM;QT_MAT_BAS_MASC;QT_MAT_BAS_ND
29025788;ESCOLA MUNICIPAL NOSSA SENHORA DAS GROTAS;Juazeiro;BA;2009;1;2;41;0;1;45;18;33;6
29025834;ESCOLA MUNICIPAL PEDRO DIAS;Juazeiro;BA;2009;2;2;73;0;0;77;40;47;10
29025869;ESCOLA MUNICIPAL OSORIO TELES DE MENEZES;Juazeiro;BA;2009;4;2;84;0;0;90;47;53;10
29025885;ESCOLINHA DISNEYLANDIA;Juazeiro;BA;2009;13;5;72;0;0;90;40;56;6
29025907;COLEGIO MUNICIPAL BOM JESUS;Juazeiro;BA;2009;14;4;225;1;0;244;252;261;269
29025923;ESCOLA MUNICIPAL LINDAURA MARIA DE JESUS;Juazeiro;BA;2009;8;0;7;0;0;15;16;24;25
29025931;ESCOLA MUNICIPAL SAO SEBASTIAO;Juazeiro;BA;2009;0;0;16;0;0;16;20;23;27
29025958;ESCOLA MUNICIPAL NOSSA SENHORA RAINHA DOS ANJOS;Juazeiro;BA;2009;0;0;29;0;0;29;24;17;12
29025974;ESCOLA MUNICIPAL CORACAO DE JESUS;Juazeiro;BA;2009;0;0;10;0;1;11;69;74;132
29025982;ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS;Juazeiro;BA;2009;8;3;146;0;0;157;166;176;185
29026024;ESCOLA MUNICIPAL DOUTOR EDSON RIBEIRO;Juazeiro;BA;2009;15;6;43;0;0;64;58;67;61
29026105;ESCOLA MUNICIPAL NOSSA SENHORA DAS GROTAS;Juazeiro;BA;2009;7;19;8;0;3;37;26;49;38
29026113;ESCOLA MUNICIPAL ELISEU SANTOS;Juazeiro;BA;2009;1;0;265;0;0;266;259;310;303
29026130;ESCOLA MUNICIPAL 25 DE JULHO;Juazeiro;BA;2009;12;6;45;3;0;66;66;59;59
29026148;ESCOLA MUNICIPAL AMERICO TANURI;Juazeiro;BA;2009;14;1;39;0;0;54;48;48;42
29026156;ESCOLA MUNICIPAL BOM JESUS;Juazeiro;BA;2009;19;1;11;0;0;31;20;16;5
29026164;ESCOLA MUNICIPAL CORACAO DE JESUS;Juazeiro;BA;2009;10;7;47;1;0;65;48;65;48
29026199;ESCOLA MUNICIPAL EURIDICE RIBEIRO VIANA;Juazeiro;BA;2009;11;0;51;0;0;62;66;68;72
29026202;ESCOLA MUNICIPAL FAMILIA UNIDA;Juazeiro;BA;2009;3;1;56;0;0;60;39;37;16
29026288;ESCOLA MUNICIPAL SANTA INES;Juazeiro;BA;2009;27;16;358;0;0;401;439;431;469
29026296;ESCOLA MUNICIPAL SANTA TEREZINHA;Juazeiro;BA;2009;14;4;38;0;0;56;50;46;40
29026300;ESCOLA MUNICIPAL SANTA TEREZINHA;Juazeiro;BA;2009;1;1;51;0;0;53;31;56;34
29026350;ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS;Juazeiro;BA;2009;0;4;5;0;0;9;9;22;22
29026377;ESCOLA MUNICIPAL SAO JOSE;Juazeiro;BA;2009;0;0;12;0;0;12;27;32;47
29026423;ESCOLA MUNICIPAL BOLIVAR SANTANA;Juazeiro;BA;2009;8;3;199;0;0;210;177;232;199
29026431;ESCOLA MUNICIPAL DE PONTAL;Juazeiro;BA;2009;25;2;53;0;0;80;91;94;105
29026440;ESCOLA MUNICIPAL MANOEL GOMES MARTINS;Juazeiro;BA;2009;0;0;63;0;0;63;54;40;31
29026482;ESCOLA MUNICIPAL ANTONIO FRANCISCO DE OLIVEIRA;Juazeiro;BA;2009;7;23;219;0;0;249;211;251;213
29026520;ESCOLA MUNICIPAL VEREADOR AMADEUS DAMASIO;Juazeiro;BA;2009;4;14;86;0;0;104;92;137;125
29026601;ESCOLA MUNICIPAL AMERICO TANURI;Juazeiro;BA;2009;4;1;75;0;0;80;41;49;10
29026628;ESCOLA MUNICIPAL HERBET MOUZE RODRIGUES;Juazeiro;BA;2009;3;0;39;0;0;42;18;26;2
29026636;ESCOLA MUNICIPAL JOSE DE AMORIM;Juazeiro;BA;2009;14;8;246;3;0;271;232;274;235
29026644;ESCOLA MUNICIPAL LUCIA CARMEM SOBREIRA;Juazeiro;BA;2009;5;1;31;0;0;37;29;41;33
29026652;ESCOLA MUNICIPAL MARIA DO CARMO SA NOGUEIRA;Juazeiro;BA;2009;2;3;12;0;0;17;12;17;12
29026660;ESCOLA MUNICIPAL MARIA MONTEIRO BACELAR;Juazeiro;BA;2009;13;2;85;0;1;101;75;72;46
29026679;ESCOLA MUNICIPAL MIGUEL ANGELO DE SOUZA;Juazeiro;BA;2009;2;7;110;0;0;119;64;104;49
29026695;ESCOLA MUNICIPAL PROFESSORA BERNADETE BRAGA;Juazeiro;BA;2009;1;4;19;0;0;24;19;26;21
29026709;ESCOLA MUNICIPAL PROFESSORA EDUALDINA DAMASIO;Juazeiro;BA;2009;1;7;101;0;1;110;179;202;271
29026725;ESCOLA MUNICIPAL PROFESSORA OSCARLINA TANURI;Juazeiro;BA;2009;0;1;41;0;0;42;44;55;57
29026741;ESCOLA MUNICIPAL JOAO DIAS FERREIRA;Juazeiro;BA;2009;0;0;64;0;0;64;47;55;38
29026776;ESCOLA MUNICIPAL PROFESSORA MARIA AMELIA DE SOUZA OLIVEIRA;Juazeiro;BA;2009;0;1;63;0;0;64;31;50;17
29026792;ESCOLA MUNICIPAL PASSAGEM DO SARGENTO;Juazeiro;BA;2009;2;1;12;0;0;15;19;22;26
29026873;ESCOLA MUNICIPAL PROFESSORA ANTONILA DA FRANCA CARDOSO;Juazeiro;BA;2009;27;3;30;1;0;61;112;112;163
29026890;COLEGIO MUNICIPAL DEPUTADO RAIMUNDO DA CUNHA LEITE;Juazeiro;BA;2009;42;16;114;3;0;175;120;121;66
29026911;ESCOLA MUNICIPAL DURVAL BARBOSA DA CUNHA;Juazeiro;BA;2009;8;0;60;0;0;68;48;38;18
29026989;ESCOLA MUNICIPAL PROFESSORA ATANILHA LUZ ARAUJO;Juazeiro;BA;2009;19;11;151;1;0;182;182;160;160
29027055;COLEGIO MUNICIPAL RAIMUNDO CLEMENTINO DE SOUZA;Juazeiro;BA;2009;3;2;40;2;0;47;83;87;123
29027098;ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS;Juazeiro;BA;2009;7;4;35;0;0;46;29;27;10
29341256;ESCOLA MUNICIPAL ANALIA BARBOSA DE SOUZA;Juazeiro;BA;2009;26;7;328;0;0;361;507;525;671
29341566;ESCOLINHA CARROSSEL;Juazeiro;BA;2009;3;0;35;0;0;38;28;22;12
29341590;CENTRO EDUCACIONAL JORGE AMADO;Juazeiro;BA;2009;14;0;31;1;0;46;48;47;49
29341710;ESCOLA MUNICIPAL DE 1º GRAU MANOEL NUNES AMORIM;Juazeiro;BA;2009;8;15;59;2;0;84;69;63;48
29341744;ESCOLA MUNICIPAL ELEOTERIO SOARES FONSECA;Juazeiro;BA;2009;9;2;66;0;0;77;63;104;90
29341779;ESCOLA RURAL DE MASSAROCA;Juazeiro;BA;2009;4;0;77;0;0;81;82;96;97
29341809;COLEGIO MUNICIPAL PROFESSORA IRACY NUNES DA SILVA;Juazeiro;BA;2009;48;13;128;0;1;190;365;381;556
29362237;ESCOLINHA PATOTA;Juazeiro;BA;2009;6;3;23;0;0;32;37;39;44
29362334;ESC ROSA DOS VENTOS;Juazeiro;BA;2009;4;5;31;1;1;42;23;20;1
29362415;ESCOLA MUNICIPAL CAIC MISAEL AGUILAR;Juazeiro;BA;2009;24;27;336;0;0;387;347;409;369
29362504;ESCOLA MUNICIPAL PROFESSORA MARIA JOSE LIMA DA ROCHA;Juazeiro;BA;2009;22;12;287;2;0;323;340;400;417
29378885;ESCOLA RECANTO DO PEQUENO PRINCIPE;Juazeiro;BA;2009;0;0;0;0;0;0;0;0;0
29378893;ESCOLA MUNICIPAL DOM JOSE RODRIGUES;Juazeiro;BA;2009;8;4;104;1;2;119;132;138;151
29378907;ESCOLA FUNDAMENTAL CRISTAL DO SOL;Juazeiro;BA;2009;35;5;31;0;1;72;90;72;90
29378923;C EDUC CONSTRUTIVISTA EMILIA FERREIRO;Juazeiro;BA;2009;20;0;58;1;0;79;62;59;42
29378931;CENTRO EDUCACIONAL GIRASSOL;Juazeiro;BA;2009;0;0;0;0;0;0;0;0;0
